movie_id,genre_id
22803,53
24238,16
24238,35
24238,18
22947,18
22947,10749
10315,12
10315,16
10315,35
10315,10751
22881,18
22954,18
22954,36
10198,10749
10198,10751
10198,16
10198,10402
19995,28
19995,12
19995,14
19995,878
10528,28
10528,12
10528,80
10528,9648
28178,18
28178,10751
20504,28
20504,53
20504,878
20453,18
20453,35
20453,10749
11324,18
11324,53
11324,9648
22971,18
22971,10749
22971,10752
12155,10751
12155,14
12155,12
23169,18
23169,10749
10191,14
10191,12
10191,16
10191,10751
23483,28
23483,80
35690,18
35690,10751
35690,10749
10138,12
10138,28
10138,878
46705,18
46705,10749
10193,16
10193,10751
10193,35
20352,16
20352,10751
27205,28
27205,53
27205,878
27205,9648
27205,12
31011,878
31011,18
31011,10749
31011,14
37472,28
37472,36
37472,18
22538,28
22538,12
22538,35
37799,18
23168,80
23168,18
23168,53
37735,35
39514,28
39514,12
39514,35
39514,80
39514,53
44115,12
44115,18
44115,53
38055,16
38055,28
38055,35
38055,10751
38055,878
44214,18
44214,53
43539,10749
43539,18
43539,53
43539,80
12444,12
12444,14
12444,10751
45269,18
45269,36
38757,16
38757,10751
45317,18
43347,18
43347,35
43347,10749
44264,18
44264,12
44264,37
20526,12
20526,28
20526,878
49797,53
49797,27
51739,14
51739,16
51739,10751
46838,35
46838,27
51876,53
51876,9648
51876,878
50348,80
50348,18
50348,53
39513,12
39513,35
39513,878
44896,16
44896,35
44896,10751
44896,37
44896,12
38050,878
38050,53
38050,10749
45612,53
45612,878
45612,9648
49018,27
49018,53
46195,16
46195,12
46195,35
46195,10751
62215,18
62215,878
10195,12
10195,14
10195,28
51497,28
51497,53
51497,80
46738,18
46738,10752
46738,9648
55721,35
55721,10749
1865,12
1865,28
1865,14
59436,14
59436,35
59436,10749
45243,35
49444,16
49444,10751
49538,28
49538,878
49538,12
37686,53
37686,878
37686,9648
51540,35
51540,80
12445,10751
12445,14
12445,12
64690,18
64690,28
64690,53
64690,80
1771,28
1771,12
1771,878
50646,35
50646,18
50646,10749
51828,18
51828,10749
50544,10749
50544,35
61791,53
61791,28
61791,18
61791,878
50014,18
63311,18
63311,27
63311,9648
63311,53
60308,18
24428,878
24428,28
24428,12
60243,18
59440,28
59440,18
40807,35
40807,18
74643,18
74643,35
74643,10749
39254,28
39254,878
39254,18
71859,18
71859,53
49530,28
49530,53
49530,878
72113,35
72113,18
76025,18
17578,12
17578,16
17578,9648
44826,12
44826,18
44826,10751
57212,18
57212,10752
70160,878
70160,12
70160,14
49026,28
49026,80
49026,18
49026,53
58574,12
58574,28
58574,80
58574,9648
56292,28
56292,53
56292,12
65754,53
65754,80
65754,9648
65754,18
77338,18
77338,35
76726,878
76726,18
76726,53
72570,18
72570,10749
57214,35
57214,80
64688,28
64688,35
64688,80
94329,28
94329,53
94329,80
22970,27
22970,53
77877,18
77877,10749
41154,28
41154,35
41154,878
70981,878
70981,12
70981,9648
83666,35
83666,18
83666,10749
80321,16
80321,10751
62177,16
62177,12
62177,35
62177,10751
62177,28
62177,14
72105,35
72105,14
1930,28
1930,12
1930,14
37724,28
37724,12
37724,53
82633,80
82633,18
114150,35
114150,10402
114150,10749
59967,28
59967,53
59967,878
49049,28
49049,878
77016,80
77016,18
77016,53
84892,18
84892,10749
103663,18
82507,27
82507,53
82507,9648
76492,16
76492,35
76492,10751
76492,14
68734,18
68734,53
86838,35
86838,80
83542,18
83542,878
82690,10751
82690,16
82690,35
82690,12
82693,18
82693,35
82693,10749
87502,18
87827,12
87827,18
87827,28
72976,36
72976,18
81188,14
81188,16
81188,10751
140420,16
140420,10751
140420,10749
49051,12
49051,14
49051,28
97630,53
97630,18
97630,36
82654,27
82654,35
82654,10749
75780,80
75780,18
75780,53
68718,18
68718,37
80278,53
80278,18
82695,18
82695,10402
82695,10749
112949,10749
49519,12
49519,16
49519,35
49519,10751
49519,14
158011,80
158011,53
84199,18
84199,35
84199,10749
97367,18
97367,80
109428,27
75612,28
75612,878
75612,12
75612,9648
110420,16
110420,18
110420,10751
110420,14
68721,28
68721,12
68721,878
103731,18
64682,18
64682,10749
54138,28
54138,12
54138,878
82992,28
82992,53
82992,80
75656,53
75656,80
147773,35
147773,18
49521,28
49521,12
49521,14
49521,878
62211,16
62211,10751
68726,28
68726,878
68726,12
152742,18
152742,10749
152742,80
152742,9648
72190,28
72190,18
72190,27
72190,878
72190,53
68724,878
68724,28
68724,18
68724,53
93456,16
93456,35
93456,10751
107985,35
107985,28
107985,878
136795,28
136795,35
136795,80
157386,35
157386,18
157386,10749
111969,18
111969,35
138843,27
138843,53
76170,28
76170,878
76170,12
76170,14
136400,28
136400,35
136400,80
160588,35
160588,18
179144,35
179144,18
138832,35
138832,80
59859,28
59859,12
59859,80
158999,99
149870,16
132363,18
122906,35
122906,18
122906,878
49047,878
49047,53
49047,18
146233,18
146233,53
146233,80
96721,18
96721,28
169813,18
129670,18
129670,12
152584,10749
152584,18
109424,28
109424,18
109424,53
107846,28
107846,53
76203,18
76203,36
80274,878
80274,28
80274,12
76338,28
76338,12
76338,14
152532,18
152532,36
205220,18
203833,18
101299,12
101299,28
101299,878
57158,12
57158,14
109445,16
109445,12
109445,10751
86829,18
86829,10402
106646,80
106646,18
106646,35
168672,18
168672,80
116745,12
116745,35
116745,18
