id,actor_id,movie_id,character_name
85,2157,207,Alan Parrish
86,2157,489,Alan Parrish
87,2157,10312,Alan Parrish
88,2157,11005,Alan Parrish
89,2157,2277,Alan Parrish
90,2157,879,Alan Parrish
91,2157,644,Alan Parrish
92,2157,320,Alan Parrish
93,2157,1593,Alan Parrish
94,2157,5123,Alan Parrish
95,2157,132363,Alan Parrish
96,8537,8844,Samuel Alan Parrish / Van Pelt
97,8537,597,Samuel Alan Parrish / Van Pelt
98,8537,564,Samuel Alan Parrish / Van Pelt
99,205,8844,Judy Sheperd
100,205,628,Judy Sheperd
101,205,9444,Judy Sheperd
102,205,1443,Judy Sheperd
103,205,557,Judy Sheperd
104,205,38,Judy Sheperd
105,205,558,Judy Sheperd
106,205,62215,Judy Sheperd
107,205,381284,Judy Sheperd
108,145151,8844,Peter Shepherd
109,145151,10020,Peter Shepherd
110,5149,8844,Sarah Whittle
111,5149,380,Sarah Whittle
112,5149,9487,Sarah Whittle
113,5149,497,Sarah Whittle
114,5149,585,Sarah Whittle
115,5149,920,Sarah Whittle
116,5149,10193,Sarah Whittle
117,5149,62211,Sarah Whittle
118,5149,269149,Sarah Whittle
119,10739,8844,Nora Shepherd
120,58563,8844,Carl Bentley
121,1276,8844,Carol Anne Parrish
122,1276,117,Carol Anne Parrish
123,1276,497,Carol Anne Parrish
124,1276,553,Carol Anne Parrish
125,1276,5038,Carol Anne Parrish
126,1276,11324,Carol Anne Parrish
127,1276,37735,Carol Anne Parrish
128,1276,51828,Carol Anne Parrish
129,1276,50544,Carol Anne Parrish
130,1276,198663,Carol Anne Parrish
131,1276,294254,Carol Anne Parrish
132,46530,8844,Alan Parrish (young)
133,56523,8844,Sarah Whittle (young)
134,51551,8844,Exterminator
135,51551,9741,Exterminator
136,51551,263115,Exterminator
137,56522,8844,Mrs. Thomas the Realtor
138,1000304,8844,Benjamin
139,188949,8844,Caleb
140,1076551,8844,Billy Jessup
141,1480246,8844,Cop
142,1158,949,Lt. Vincent Hanna
143,1158,6075,Lt. Vincent Hanna
144,1158,238,Lt. Vincent Hanna
145,1158,240,Lt. Vincent Hanna
146,1158,9366,Lt. Vincent Hanna
147,1158,1813,Lt. Vincent Hanna
148,1158,242,Lt. Vincent Hanna
149,1158,9475,Lt. Vincent Hanna
150,1158,968,Lt. Vincent Hanna
151,1158,111,Lt. Vincent Hanna
152,1158,320,Lt. Vincent Hanna
153,1158,298,Lt. Vincent Hanna
154,380,949,Neil McCauley
155,380,524,Neil McCauley
156,380,103,Neil McCauley
157,380,819,Neil McCauley
158,380,68,Neil McCauley
159,380,769,Neil McCauley
160,380,240,Neil McCauley
161,380,311,Neil McCauley
162,380,1578,Neil McCauley
163,380,11778,Neil McCauley
164,380,184,Neil McCauley
165,380,117,Neil McCauley
166,380,11005,Neil McCauley
167,380,1597,Neil McCauley
168,380,2270,Neil McCauley
169,380,51876,Neil McCauley
170,380,82693,Neil McCauley
171,380,168672,Neil McCauley
172,380,257211,Neil McCauley
173,5576,949,Chris Shiherlis
174,5576,11969,Chris Shiherlis
175,5576,319,Chris Shiherlis
176,5576,744,Chris Shiherlis
177,5576,9837,Chris Shiherlis
178,5576,5236,Chris Shiherlis
179,5576,7551,Chris Shiherlis
180,10127,949,Nate
181,10127,954,Nate
182,10127,9798,Nate
183,10127,676,Nate
184,10127,2059,Nate
185,10127,1858,Nate
186,10127,7446,Nate
187,10127,259316,Nate
188,3197,949,Michael Cheritto
189,3197,241,Michael Cheritto
190,3197,319,Michael Cheritto
191,3197,857,Michael Cheritto
192,3197,9798,Michael Cheritto
193,3197,676,Michael Cheritto
194,3197,1089,Michael Cheritto
195,3197,855,Michael Cheritto
196,6200,949,Justine Hanna
197,6200,454,Justine Hanna
198,15851,949,Eady
199,15851,11774,Eady
200,15852,949,Charlene Shiherlis
201,15852,157350,Charlene Shiherlis
202,15852,262500,Charlene Shiherlis
203,34,949,Sergeant Drucker
204,34,13,Sergeant Drucker
205,34,186,Sergeant Drucker
206,34,5123,Sergeant Drucker
207,524,949,Lauren Gustafson
208,524,101,Lauren Gustafson
209,524,1893,Lauren Gustafson
210,524,1894,Lauren Gustafson
211,524,1895,Lauren Gustafson
212,524,752,Lauren Gustafson
213,524,4538,Lauren Gustafson
214,524,44214,Lauren Gustafson
215,524,10195,Lauren Gustafson
216,524,76338,Lauren Gustafson
217,15854,949,Bosko
218,15854,274,Bosko
219,15854,9799,Bosko
220,15854,1904,Bosko
221,15854,4512,Bosko
222,15854,4982,Bosko
223,15854,11324,Bosko
224,119232,949,Kelso
225,31004,949,Richard Torena
226,5587,949,Alan Marciano
227,5587,114,Alan Marciano
228,5587,9444,Alan Marciano
229,5587,35,Alan Marciano
230,5587,43347,Alan Marciano
231,15853,949,Detective Casals
232,15853,581,Detective Casals
233,15853,9361,Detective Casals
234,15853,19995,Detective Casals
235,352,949,Donald Breedan
236,352,49444,Donald Breedan
237,352,82690,Donald Breedan
238,517,710,James Bond
239,517,788,James Bond
240,517,23169,James Bond
241,517,107985,James Bond
242,48,710,Alec Trevelyan
243,48,120,Alec Trevelyan
244,48,7299,Alec Trevelyan
245,48,121,Alec Trevelyan
246,48,122,Alec Trevelyan
247,48,652,Alec Trevelyan
248,48,2059,Alec Trevelyan
249,48,1635,Alec Trevelyan
250,48,286217,Alec Trevelyan
251,10695,710,Natalya Fyodorovna Simonova
252,10696,710,Xenia Onatopp
253,10696,36657,Xenia Onatopp
254,10696,36658,Xenia Onatopp
255,10696,36668,Xenia Onatopp
256,10696,8681,Xenia Onatopp
257,10696,76170,Xenia Onatopp
258,10696,127585,Xenia Onatopp
259,10671,710,Jack Wade
260,10671,103731,Jack Wade
261,5309,710,M
262,5309,392,M
263,5309,4348,M
264,5309,36557,M
265,5309,1865,M
266,5309,37724,M
267,5309,205220,M
268,5309,206647,M
269,5309,283366,M
270,3757,710,General Arkady Grigorovich Ourumov
271,1923,710,Valentin Dmitrovich Zukovsky
272,1923,671,Valentin Dmitrovich Zukovsky
273,1923,672,Valentin Dmitrovich Zukovsky
274,1923,673,Valentin Dmitrovich Zukovsky
275,1923,163,Valentin Dmitrovich Zukovsky
276,1923,674,Valentin Dmitrovich Zukovsky
277,1923,675,Valentin Dmitrovich Zukovsky
278,1923,767,Valentin Dmitrovich Zukovsky
279,1923,12444,Valentin Dmitrovich Zukovsky
280,1923,12445,Valentin Dmitrovich Zukovsky
281,1923,62177,Valentin Dmitrovich Zukovsky
282,10697,710,Boris Grishenko
283,10697,345,Boris Grishenko
284,10697,36658,Boris Grishenko
285,10698,710,Defense Minister Dmitri Mishkin
286,10698,9737,Defense Minister Dmitri Mishkin
287,10698,2024,Defense Minister Dmitri Mishkin
288,9906,710,Q
289,9906,658,Q
290,10699,710,Miss Moneypenny
291,10648,710,Bill Tanner
292,10700,710,Caroline
293,10701,710,Severnaya Duty Officer
294,10701,116,Severnaya Duty Officer
295,10701,1771,Severnaya Duty Officer
296,55911,710,Admiral Chuck Farrell
297,55911,89,Admiral Chuck Farrell
298,55911,1924,Admiral Chuck Farrell
299,4430,524,Ginger McKenna
300,4430,861,Ginger McKenna
301,4517,524,Nicky Santoro
302,4517,771,Nicky Santoro
303,4517,769,Nicky Santoro
304,4517,311,Nicky Santoro
305,4517,1578,Nicky Santoro
306,4517,942,Nicky Santoro
307,4517,772,Nicky Santoro
308,4512,524,Lester Diamond
309,4512,311,Lester Diamond
310,4512,11970,Lester Diamond
311,4512,686,Lester Diamond
312,4512,1443,Lester Diamond
313,7169,524,Andy Stone
314,7166,524,Phillip Green
315,7166,629,Phillip Green
316,7166,881,Phillip Green
317,7166,308266,Phillip Green
318,7165,524,Remo Gaggi
319,8262,524,Pat Webb
320,166789,524,Sénateur
321,7164,524,Frank Marino
322,7164,769,Frank Marino
323,7164,1578,Frank Marino
324,7424,524,Oscar Goodman
325,18262,524,Charlie Clark
326,18262,5503,Charlie Clark
327,18262,1878,Charlie Clark
328,18262,1542,Charlie Clark
329,18262,13363,Charlie Clark
330,11483,524,Mme Piscano
331,11483,769,Mme Piscano
332,7168,524,Artie Piscano
333,62,63,Leo
334,62,1572,Leo
335,62,680,Leo
336,62,562,Leo
337,62,1573,Leo
338,62,18,Leo
339,62,95,Leo
340,62,745,Leo
341,62,9741,Leo
342,62,163,Leo
343,62,187,Leo
344,62,186,Leo
345,62,1571,Leo
346,62,39514,Leo
347,62,83666,Leo
348,62,59967,Leo
349,62,381288,Leo
350,289,63,Dr. Kathryn Railly
351,289,9361,Dr. Kathryn Railly
352,287,63,Jeffrey Goines
353,287,807,Jeffrey Goines
354,287,628,Jeffrey Goines
355,287,319,Jeffrey Goines
356,287,819,Jeffrey Goines
357,287,297,Jeffrey Goines
358,287,550,Jeffrey Goines
359,287,492,Jeffrey Goines
360,287,1541,Jeffrey Goines
361,287,107,Jeffrey Goines
362,287,161,Jeffrey Goines
363,287,652,Jeffrey Goines
364,287,163,Jeffrey Goines
365,287,787,Jeffrey Goines
366,287,1164,Jeffrey Goines
367,287,298,Jeffrey Goines
368,287,4512,Jeffrey Goines
369,287,4922,Jeffrey Goines
370,287,16869,Jeffrey Goines
371,287,38055,Jeffrey Goines
372,287,60308,Jeffrey Goines
373,287,72190,Jeffrey Goines
374,287,76203,Jeffrey Goines
375,287,228150,Jeffrey Goines
376,287,318846,Jeffrey Goines
377,287,369885,Jeffrey Goines
378,290,63,Dr. Goines
379,290,15121,Dr. Goines
380,290,453,Dr. Goines
381,290,2059,Dr. Goines
382,290,388,Dr. Goines
383,290,14160,Dr. Goines
384,290,12244,Dr. Goines
385,290,65754,Dr. Goines
386,52,63,Dr. Peters
387,52,9802,Dr. Peters
388,52,686,Dr. Peters
389,52,497,Dr. Peters
390,52,12162,Dr. Peters
391,52,72190,Dr. Peters
392,52,321741,Dr. Peters
393,288,63,Jose
394,288,6075,Jose
395,291,63,Dr. Fletcher
396,975569,63,junger Cole
397,1273540,63,WWI Sergeant
398,1273540,13,WWI Sergeant
399,22227,63,Lt. Halperin
400,22227,1878,Lt. Halperin
401,22227,49521,Lt. Halperin
402,1318900,63,Det. Franki
403,1318900,9800,Det. Franki
404,534231,63,Teddy
405,11154,63,Bee
406,11154,754,Bee
407,11154,1359,Bee
408,11154,2567,Bee
409,66094,63,Taxifahrerin
410,1077231,63,Scarface
411,1571784,63,Tiny
412,1571784,12163,Tiny
413,5588,9603,Cher Horowitz
414,5588,7446,Cher Horowitz
415,58150,9603,Dionne
416,328,9603,Tai
417,328,3558,Tai
418,328,65,Tai
419,328,187,Tai
420,22226,9603,Josh
421,22226,454,Josh
422,22226,8699,Josh
423,22226,1593,Josh
424,22226,84892,Josh
425,22226,102899,Josh
426,22226,271110,Josh
427,22226,309809,Josh
428,49002,9603,Murray
429,49002,10637,Murray
430,49002,114150,Murray
431,49002,59859,Murray
432,58151,9603,Amber
433,33654,9603,Travis
434,23958,9603,Elton
435,6486,9603,Mel Horowitz
436,6486,629,Mel Horowitz
437,6486,1018,Mel Horowitz
438,6486,259316,Mel Horowitz
439,66160,9603,Miss Toby Geist
440,30881,9603,Christian
441,40680,9603,Miss Stoeger
442,17775,9603,Summer
443,192,807,Detective Lt. William Somerset
444,192,278,Detective Lt. William Somerset
445,192,33,Detective Lt. William Somerset
446,192,310,Detective Lt. William Somerset
447,192,70,Detective Lt. William Somerset
448,192,272,Detective Lt. William Somerset
449,192,186,Detective Lt. William Somerset
450,192,4771,Detective Lt. William Somerset
451,192,7350,Detective Lt. William Somerset
452,192,155,Detective Lt. William Somerset
453,192,8909,Detective Lt. William Somerset
454,192,22954,Detective Lt. William Somerset
455,192,39514,Detective Lt. William Somerset
456,192,49026,Detective Lt. William Somerset
457,192,75612,Detective Lt. William Somerset
458,192,75656,Detective Lt. William Somerset
459,192,137106,Detective Lt. William Somerset
460,192,240832,Detective Lt. William Somerset
461,192,291805,Detective Lt. William Somerset
462,12052,807,Tracy Mills
463,12052,1213,Tracy Mills
464,12052,879,Tracy Mills
465,12052,9428,Tracy Mills
466,12052,1726,Tracy Mills
467,12052,10138,Tracy Mills
468,12052,24428,Tracy Mills
469,12052,68721,Tracy Mills
470,11885,807,California
471,11885,9802,California
472,11885,792,California
473,11885,1542,California
474,11885,1089,California
475,11885,2832,California
476,1979,807,John Doe
477,1979,629,John Doe
478,1979,2118,John Doe
479,1979,9487,John Doe
480,1979,14,John Doe
481,1979,167,John Doe
482,1979,8065,John Doe
483,1979,17431,John Doe
484,1979,51540,John Doe
485,1979,339403,John Doe
486,6487,807,Dist. Atty. Martin Talbot
487,31028,807,Mark Swarr
488,31028,1637,Mark Swarr
489,31028,49521,Mark Swarr
490,1558263,807,Mrs. Gould
491,534,807,Greasy F.B.I. Man
492,534,1573,Greasy F.B.I. Man
493,534,2649,Greasy F.B.I. Man
494,534,8741,Greasy F.B.I. Man
495,534,77,Greasy F.B.I. Man
496,534,272,Greasy F.B.I. Man
497,12055,807,Officer Davis
498,12055,2649,Officer Davis
499,38951,807,Dr. Santiago
500,38951,854,Dr. Santiago
501,38951,1359,Dr. Santiago
502,38951,4553,Dr. Santiago
503,38951,239563,Dr. Santiago
504,30487,807,Dr. O'Neill
505,30487,241,Dr. O'Neill
506,12056,807,"George, Library Night Guard"
507,12056,1637,"George, Library Night Guard"
508,9289,807,Man in Booth at Massage Parlor
509,9289,9495,Man in Booth at Massage Parlor
510,9289,638,Man in Booth at Massage Parlor
511,9289,2649,Man in Booth at Massage Parlor
512,9289,1930,Man in Booth at Massage Parlor
513,9289,102382,Man in Booth at Massage Parlor
514,2221,807,Crazed Man in Massage Parlor
515,2221,602,Crazed Man in Massage Parlor
516,2221,676,Crazed Man in Massage Parlor
517,2221,8681,Crazed Man in Massage Parlor
518,65529,10530,Pocahontas (voice)
519,2461,10530,John Smith (voice)
520,2461,197,John Smith (voice)
521,2461,941,John Smith (voice)
522,2461,942,John Smith (voice)
523,2461,9659,John Smith (voice)
524,2461,8810,John Smith (voice)
525,2461,2024,John Smith (voice)
526,28010,10530,Governor Ratcliffe (voice)
