id,name,department,job,profile_path
1406857,Piers Dunn,Production,Unit Manager,
1410552,Justine Angus,Sound,Sound Effects Editor,
1411061,Mark Mottram,Crew,Stunts,
1416005,Claudia Kalindjian,Crew,Unit Publicist,
1419240,Dayne Cowan,Visual Effects,3D Supervisor,
1428478,David Packard,Crew,Scenic Artist,
1510573,Thomas J. Glynn,Costume & Make-Up,Set Dressing Artist,
1541579,Martin Duffy,Crew,Carpenter,
1544903,Michael Miller,Sound,ADR & Dubbing,
1551791,Greg Corke,Crew,Armorer,
1565651,Gabriella Loria,Costume & Make-Up,Assistant Costume Designer,
1653964,Brad Good,Art,Property Master,
1715540,Amanda Dazely,Art,Art Department Assistant,
1753859,Dawn Copeland,Lighting,Electrician,
1836052,Andrew Hodgson,Art,Set Decoration,
1836059,Troy Osman,Art,Construction Coordinator,
1836060,Michael Finlay,Art,Painter,
1836061,John Blakeley,Art,Sculptor,
1836062,Peter Edge,Art,Standby Painter,
1836063,Andy Borham,Camera,First Assistant Camera,
1836064,Jaime Dawkins,Camera,Grip,
1836065,Anna Jartin,Costume & Make-Up,Seamstress,
1836066,Gina Marie Ome,Costume & Make-Up,Set Costumer,
1836067,Michael R. Cairo,Crew,Driver,
1836068,Adam Teeuw,Crew,Production Office Assistant,
1836069,Thomas J. McDonough,Crew,Set Production Assistant,
1836071,Roy Clarke,Crew,Transportation Coordinator,
1836072,Gary Robert,Crew,Utility Stunts,
1836073,Neil Munro,Lighting,Lighting Technician,
1836074,W.C. 'Chunky' Huse,Lighting,Rigging Grip,
1836075,Andrew Keilman,Production,Production Coordinator,
1836081,Craig Allison,Visual Effects,I/O Supervisor,
1836082,Duncan Capp,Visual Effects,Special Effects Supervisor,
1836083,Matthew Twyford,Crew,Sequence Leads,
1836084,Ryan Lastimosa,Visual Effects,VFX Artist,
1195362,David Scott,Crew,Propmaker,
1458583,Bob Peishel,Editing,Digital Intermediate,
1521490,Christina Raye,Costume & Make-Up,Hairstylist,
1848863,Glenn Young,Sound,Boom Operator,
24179,Lynwood Spinks,Production,Executive Producer,
54419,Ryan Kavanaugh,Production,Executive Producer,/hHEZuaDeSXWWxaDzQp13AzeYSg5.jpg
98681,Todd Rex,Art,Sculptor,
1403400,Jeff Campbell,Visual Effects,Visual Effects Supervisor,
1415513,Joel Goldes,Crew,Dialect Coach,
53902,Bryan Venegas,Art,Set Decoration,
1360103,Addison Teague,Sound,Sound Effects Editor,
1401792,Jim Milton,Visual Effects,Visual Effects,
1414988,Chris Gallaher,Crew,Makeup Effects,
1439013,Cedar Valentine,Art,Art Department Coordinator,
1530726,Larry Zanoff,Crew,Armorer,
1533005,Jessica Ripka,Art,Art Department Assistant,
1533039,Terry Atchison,Crew,Armorer,
1638528,James Clyne,Art,Production Illustrator,
1790958,Sandra Scott,Visual Effects,Visual Effects Producer,
69227,Bill Mechanic,Production,Producer,
968496,Kerry Foster,Production,Associate Producer,
4280,Juliette Welfling,Editing,Editor,
19113,Stéphane Fontaine,Camera,Director of Photography,/1754RMxLmK5JUwPTEkUHcEHDRq2.jpg
1410186,Amy Beresford,Crew,Digital Producer,
1415488,Paul Griffin,Crew,Animatronics Supervisor,
1477146,Lee Cleary,Production,Associate Producer,
1477147,David Gorder,Production,Associate Producer,
1494205,Eric Clement,Crew,Sequence Leads,
1494209,Richard Roles,Camera,Aerial Director of Photography,
57820,Steve Faber,Writing,Author,
57821,Bob Fisher,Writing,Author,
53641,Billy Fox,Editing,Editor,
1207434,Paul A. Simmons Jr.,Costume & Make-Up,Costume Design,
1393021,Shie Rozow,Sound,Music Editor,
1399631,Paul Hackner,Editing,Dialogue Editor,
15345,Alex Kurtzman,Writing,Screenplay,/5cO0ug7TtRqzbYU4ukKzUzfuUk.jpg
15346,Roberto Orci,Writing,Screenplay,/tDfYa9L50WUTbJh4bmPcrKKj5Ku.jpg
180830,Kurt Bryant,Crew,Stunt Coordinator,/iV5cWqC72njCHOPCwMhStuXQBWY.jpg
332714,Michael Deak,Visual Effects,Special Effects Supervisor,
1049333,Del Spiva,Sound,Music Editor,
1330856,Kim M. Holly,Costume & Make-Up,Key Costumer,
1357047,Aric Cheng,Art,Set Designer,
1393382,David Werntz,Sound,Sound Editor,
1710762,Nancy Collini,Costume & Make-Up,Key Costumer,
1815231,Christine Globke Saric,Production,Casting,
1428230,Tom Rebber,Crew,Transportation Coordinator,
1376888,Luke Caska,Art,Production Illustrator,
1401717,Chris Godfrey,Visual Effects,Visual Effects Supervisor,
1458580,Kelly Port,Crew,Digital Effects Supervisor,
1494210,Mark Goellnicht,Camera,Steadicam Operator,
1518756,P.J. Voeten,Directing,First Assistant Director,/l9kjyGM08Sa4quu3MUaHRL1TrjQ.jpg
1536898,John Bowring,Crew,Armorer,
1575750,John Platt,Camera,Camera Operator,
1738639,Paul Thompson,Camera,Key Grip,
80425,Christopher Buchanan,Production,Executive Producer,
1018965,Lisa Lassek,Editing,Editor,/eS72rb8ccHwtgTT4JcmWyycc4NY.jpg
1318464,Jim Johnson,Art,Set Decoration,
4437,Lydia Marks,Art,Set Decoration,
39123,Venus Kanani,Production,Casting Associate,/lR4VaV7yFaEuFE93tPF4NyPqZp6.jpg
1087360,Nic Harcourt,Sound,Music Supervisor,
1357063,Darrin Prescott,Crew,Stunt Coordinator,
1404290,John Velez,Lighting,Gaffer,
1406839,Scott Rogers,Crew,Stunt Coordinator,
1407747,Virginia McCollam,Production,Location Manager,
1434988,Jennifer Brown,Crew,Set Medic,
1463657,Brandon Beckman,Crew,Utility Stunts,
1490951,Bob Bates,Lighting,Electrician,
59922,Glenn S. Gainor,Production,Executive Producer,/mtEzfs207DmAerAFMhJazIrF6lU.jpg
75362,Tom McNulty,Production,Co-Producer,
1371220,Jan Rubens,Camera,Steadicam Operator,
1428845,Jen Monnar,Sound,Music Editor,
60385,Fontaine Beauchamp Hebb,Art,Set Decoration,
223244,Tania Blunden,Crew,Post Production Supervisor,
1393457,M. Gerard Sellers,Production,Location Manager,
1403433,Andrew M. Casbon III,Art,Painter,
1414153,Larry Cottrill,Lighting,Best Boy Electric,
1428898,Karl Herbst,Crew,CG Supervisor,
1821945,John Lavis,Crew,Set Medic,
1419264,Fiona Campbell Westgate,Visual Effects,Visual Effects Producer,
6827,Joe Bini,Editing,Editor,/pc6xqYadNk9NePR5hvDICZQPLC4.jpg
4495,Steve Carell,Writing,Screenplay,/dIbDse0ULWgA5QVoQDSFogczuc.jpg
29216,Zachary Woodlee,Crew,Associate Choreographer,
53012,Lyle Workman,Sound,Original Music Composer,
52446,Mason Novick,Production,Executive Producer,
1532257,Jonny Winograd,Editing,First Assistant Editor,
8311,Farah Khan,Crew,Choreographer,/l0jw1cr6WvpjF2grO1JBqUOBcEx.jpg
35770,Yash Chopra,Production,Producer,/69iwaoauWMlXGIeOww5ysXqe5Mo.jpg
35771,Aditya Chopra,Writing,Screenplay,/zEVU7NkHcsZi4gjp2x8GC7pdY6H.jpg
69709,Uday Chopra,Production,Associate Producer,/dE8SJ1In3L5zHeVOB91LBJXmtN3.jpg
70849,Jatin Pandit,Sound,Music Director,
82079,Manmohan Singh,Crew,Cinematography,
133179,Lalit Pandit,Sound,Music Director,
146970,Javed Siddiqui,Writing,Dialogue,
565173,Keshav Naidu,Editing,Editor,
927644,Anand Bakshi,Sound,Songs,
1113619,Kumar Sanu,Sound,Playback Singer,
1148398,Saroj Khan,Crew,Choreographer,
1661254,Pamela Chopra,Production,Associate Producer,
1661255,Mahen Vakil,Production,Executive Producer,
1661256,Ravi Indulkar,Costume & Make-Up,Makeup Artist,
1661257,Pandhari Juker,Costume & Make-Up,Makeup Artist,
1661258,Farida Khan,Costume & Make-Up,Hairstylist,
1661259,Vinod Rathod,Costume & Make-Up,Makeup Artist,
1661260,Balakrishnan Iyer,Production,Production Manager,
1661261,Mohammed Kasim,Art,Assistant Art Director,
1661262,Arunkumar Bose,Sound,Sound Re-Recording Mixer,
1661263,Shashikant Shellar,Costume & Make-Up,Costume Design,
6029,Nadine Muse,Editing,Editor,
11269,Dario Marianelli,Sound,Original Music Composer,/bjYBKs9MuvkF9dL1KIj4oTzdcBq.jpg
40825,Benjamin Wallfisch,Sound,Orchestrator,
29608,Jake Myers,Production,Co-Producer,
29610,Karl Derrick,Costume & Make-Up,Prosthetic Makeup Artist,
1337419,James Bellamy,Sound,Music Editor,
1367808,Stéphane Linet,Crew,Armorer,
1401569,Sophie Leclerc,Visual Effects,Visual Effects Producer,
1415980,James Madigan,Visual Effects,Visual Effects Coordinator,
1531574,Steve Bohan,Art,Construction Coordinator,
1540471,Maggie Rodford,Sound,Music Supervisor,
1545996,Martin Corbett,Editing,First Assistant Editor,
1579411,Zuzana Milfort,Crew,Special Effects Coordinator,
1614064,Barry O'Sullivan,Sound,Boom Operator,
1821143,Rebecca Steel Roven,Camera,Camera Intern,
1341786,Bryan O. Watkins,Sound,Sound Effects Editor,
1400343,Ian Noe,Visual Effects,Visual Effects Producer,
1402900,Calum McFarlane,Camera,Camera Operator,
1405238,Leigh Mackenzie,Camera,Camera Operator,
1407693,Florin Niculae,Lighting,Gaffer,
1409237,Pimentel A. Raphael,Visual Effects,Animation,
1409245,Mike Chiado,Editing,Digital Intermediate,
40728,Armin Sauer,Crew,Stunt Coordinator,
43559,Jeff Abberley,Production,Executive Producer,
43560,Julia Blackman,Production,Executive Producer,
23425,Chris Lowe,Art,Supervising Art Director,
1335183,Sam Southwick,Sound,Foley,
1338277,Nick Thomas,Crew,Property Master,
1338291,Susanna Lenton,Directing,Script Supervisor,
1413028,Lesa Warrener,Costume & Make-Up,Makeup Artist,
1413045,Jonah Coombes,Production,Location Manager,
56231,Vincent Tabaillon,Editing,Editor,
1432577,Becky Cotton,Costume & Make-Up,Key Makeup Artist,
75120,Charlotte Sewell,Costume & Make-Up,Costume Supervisor,
37767,Teri-Lin Robertson,Production,Producer,
36859,Philippe Rousselet,Production,Producer,
37768,Jean-Vincent Puzos,Art,Production Design,
